name,Snippet,description,longitude,latitude,altitude
Khoroshyovskaya (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Khoroshyovskaya_%28Moscow_Metro%29"">Khoroshyovskaya (Moscow Metro)</a>",37.5181,55.7766,0
Khovrino (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Khovrino_%28Moscow_Metro%29"">Khovrino (Moscow Metro)</a>",37.482222,55.879167,0
Kitay-gorod (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Kitay-gorod_%28Moscow_Metro%29"">Kitay-gorod (Moscow Metro)</a>",37.6333,55.7553,0
Kiyevskaya (Arbatsko–Pokrovskaya line),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Kiyevskaya_%28Arbatsko%E2%80%93Pokrovskaya_line%29"">Kiyevskaya (Arbatsko–Pokrovskaya line)</a>",37.5645,55.7442,0
Kiyevskaya (Filyovskaya line),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Kiyevskaya_%28Filyovskaya_line%29"">Kiyevskaya (Filyovskaya line)</a>",37.5655,55.7436,0
Kiyevskaya (Koltsevaya line),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Kiyevskaya_%28Koltsevaya_line%29"">Kiyevskaya (Koltsevaya line)</a>",37.5644,55.7446,0
Kolomenskaya (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Kolomenskaya_%28Moscow_Metro%29"">Kolomenskaya (Moscow Metro)</a>",37.6638,55.6785,0
Kommunarka (Sokolnicheskaya line),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Kommunarka_%28Sokolnicheskaya_line%29"">Kommunarka (Sokolnicheskaya line)</a>",37.4696,55.5605,0
Komsomolskaya (Koltsevaya line),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Komsomolskaya_%28Koltsevaya_line%29"">Komsomolskaya (Koltsevaya line)</a>",37.6549,55.7748,0
Komsomolskaya (Sokolnicheskaya line),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Komsomolskaya_%28Sokolnicheskaya_line%29"">Komsomolskaya (Sokolnicheskaya line)</a>",37.6562,55.7753,0
Konkovo (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Konkovo_%28Moscow_Metro%29"">Konkovo (Moscow Metro)</a>",37.5188,55.6333,0
Koptevo (Moscow Central Circle),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Koptevo_%28Moscow_Central_Circle%29"">Koptevo (Moscow Central Circle)</a>",37.5203,55.8397,0
Kosino (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Kosino_%28Moscow_Metro%29"">Kosino (Moscow Metro)</a>",37.847777,55.704166,0
